Team,Div,avg_HomeGoalsScored,avg_HomeGoalsConceded,avg_HomeShots,avg_HomeShotsConceded,avg_HomeShotsOnTarget,avg_HomeShotsOnTargetConceded,avg_HomeCorners,avg_HomeCornersConceded,avg_Home_goal_difference,avg_Home_ppg,avg_Home_win_percentage,avg_AwayGoalsConceded,avg_AwayGoalsScored,avg_AwayShotsConceded,avg_AwayShots,avg_AwayShotsOnTargetConceded,avg_AwayShotsOnTarget,avg_AwayCornersConceded,avg_AwayCorners,avg_Away_goal_difference,avg_Away_ppg,avg_Away_win_percentage
Arsenal,2017-18,2.8421052631578947,1.0526315789473684,18.05263157894737,9.736842105263158,7.7368421052631575,3.6842105263157894,6.947368421052632,4.947368421052632,1.7894736842105263,2.4736842105263155,78.94736842105263,1.631578947368421,1.0526315789473684,12.526315789473685,13.157894736842104,4.157894736842105,4.578947368421052,4.526315789473684,4.894736842105263,-0.5789473684210527,0.8421052631578947,21.052631578947366
Arsenal,2018-19,2.210526315789474,0.8421052631578947,13.473684210526315,11.421052631578947,5.052631578947368,3.9473684210526314,6.7368421052631575,4.368421052631579,1.3684210526315792,2.3684210526315788,73.68421052631578,1.8421052631578947,1.631578947368421,14.578947368421053,11.052631578947368,5.684210526315789,3.8947368421052633,5.315789473684211,4.421052631578948,-0.21052631578947367,1.3157894736842104,36.84210526315789
Arsenal,2019-20,1.894736842105263,1.263157894736842,12.157894736842104,15.0,4.7894736842105265,5.526315789473684,6.7368421052631575,5.684210526315789,0.631578947368421,1.8947368421052633,52.63157894736842,1.263157894736842,1.0526315789473684,14.157894736842104,9.421052631578947,4.684210526315789,3.1578947368421053,6.368421052631579,5.421052631578948,-0.21052631578947367,1.0526315789473684,21.052631578947366
Aston Villa,2019-20,1.1578947368421053,1.5789473684210527,13.105263157894736,14.473684210526315,4.2105263157894735,4.7368421052631575,5.842105263157895,5.368421052631579,-0.42105263157894735,1.263157894736842,36.84210526315789,1.9473684210526316,1.0,17.473684210526315,11.052631578947368,5.0,3.6842105263157894,7.368421052631579,4.684210526315789,-0.9473684210526316,0.5789473684210527,10.526315789473683
Bournemouth,2017-18,1.368421052631579,1.5789473684210527,14.052631578947368,13.473684210526315,4.315789473684211,4.473684210526316,6.052631578947368,4.421052631578948,-0.21052631578947367,1.3684210526315788,36.84210526315789,1.631578947368421,1.0,15.473684210526315,10.526315789473685,4.842105263157895,4.0,6.7368421052631575,5.421052631578948,-0.631578947368421,0.9473684210526315,21.052631578947366
Bournemouth,2018-19,1.5789473684210527,1.3157894736842106,12.052631578947368,13.105263157894736,4.315789473684211,4.315789473684211,5.052631578947368,5.7894736842105265,0.26315789473684204,1.526315789473684,42.10526315789473,2.3684210526315788,1.368421052631579,14.31578947368421,11.473684210526315,4.894736842105263,4.2631578947368425,6.052631578947368,5.0,-0.9999999999999998,0.8421052631578947,26.31578947368421
Bournemouth,2019-20,1.1578947368421053,1.5789473684210527,10.473684210526315,14.578947368421053,3.210526315789474,4.7368421052631575,5.368421052631579,6.578947368421052,-0.42105263157894735,1.1052631578947367,26.31578947368421,1.8421052631578947,0.9473684210526315,14.789473684210526,10.0,5.526315789473684,3.1578947368421053,6.631578947368421,4.842105263157895,-0.8947368421052632,0.6842105263157894,21.052631578947366
Brighton,2017-18,1.263157894736842,1.3157894736842106,11.421052631578947,12.789473684210526,3.736842105263158,4.578947368421052,4.7368421052631575,5.157894736842105,-0.052631578947368585,1.526315789473684,36.84210526315789,1.5263157894736843,0.5263157894736842,16.42105263157895,8.736842105263158,4.947368421052632,2.473684210526316,6.842105263157895,3.8421052631578947,-1.0,0.5789473684210527,10.526315789473683
Brighton,2018-19,1.0,1.4736842105263157,10.526315789473685,11.789473684210526,2.789473684210526,4.157894736842105,4.7368421052631575,4.578947368421052,-0.4736842105263157,1.2105263157894737,31.57894736842105,1.6842105263157894,0.8421052631578947,18.842105263157894,8.68421052631579,5.052631578947368,2.8947368421052633,6.7894736842105265,3.473684210526316,-0.8421052631578947,0.6842105263157894,15.789473684210526
Brighton,2019-20,1.0526315789473684,1.4210526315789473,12.421052631578947,11.789473684210526,3.5789473684210527,4.052631578947368,5.421052631578948,5.105263157894737,-0.368421052631579,1.1578947368421053,26.31578947368421,1.4210526315789473,1.0,14.421052631578947,11.842105263157896,4.894736842105263,3.8947368421052633,5.631578947368421,3.9473684210526314,-0.42105263157894735,1.0,21.052631578947366
Burnley,2017-18,0.8421052631578947,0.8947368421052632,10.894736842105264,13.842105263157896,3.473684210526316,4.2105263157894735,4.947368421052632,5.7894736842105265,-0.052631578947368474,1.3684210526315788,36.84210526315789,1.1578947368421053,1.0526315789473684,15.736842105263158,9.052631578947368,4.421052631578948,3.210526315789474,6.842105263157895,3.8421052631578947,-0.10526315789473695,1.4736842105263157,36.84210526315789
Burnley,2018-19,1.263157894736842,1.6842105263157894,11.052631578947368,15.105263157894736,3.473684210526316,4.947368421052632,4.2105263157894735,5.473684210526316,-0.42105263157894735,1.2105263157894735,36.84210526315789,1.894736842105263,1.105263157894737,19.105263157894736,7.842105263157895,6.105263157894737,2.5789473684210527,7.421052631578948,3.1578947368421053,-0.7894736842105261,0.894736842105263,21.052631578947366
Burnley,2019-20,1.263157894736842,1.2105263157894737,11.578947368421053,12.263157894736842,4.2631578947368425,4.105263157894737,5.0,5.631578947368421,0.05263157894736836,1.4736842105263157,42.10526315789473,1.4210526315789473,1.0,16.105263157894736,8.842105263157896,4.842105263157895,2.789473684210526,6.947368421052632,4.0,-0.42105263157894735,1.3684210526315788,36.84210526315789
Cardiff,2018-19,1.105263157894737,2.0,12.105263157894736,13.368421052631579,3.5789473684210527,4.842105263157895,5.0,6.105263157894737,-0.894736842105263,1.0526315789473684,31.57894736842105,1.631578947368421,0.6842105263157895,16.68421052631579,9.842105263157896,6.315789473684211,3.0526315789473686,7.578947368421052,3.8421052631578947,-0.9473684210526315,0.7368421052631579,21.052631578947366
Chelsea,2017-18,1.5789473684210527,0.8421052631578947,18.736842105263158,8.842105263157896,6.947368421052632,2.6842105263157894,7.7894736842105265,3.6842105263157894,0.736842105263158,1.9473684210526316,57.89473684210527,1.1578947368421053,1.6842105263157894,11.0,13.157894736842104,3.6315789473684212,4.631578947368421,4.684210526315789,4.315789473684211,0.5263157894736841,1.736842105263158,52.63157894736842
Chelsea,2018-19,2.0526315789473686,0.631578947368421,17.105263157894736,8.263157894736842,6.2105263157894735,2.5789473684210527,6.315789473684211,3.789473684210526,1.4210526315789476,2.2105263157894735,63.1578947368421,1.4210526315789473,1.263157894736842,10.0,14.789473684210526,4.105263157894737,4.2105263157894735,3.6315789473684212,5.0,-0.1578947368421053,1.5789473684210527,47.368421052631575
Chelsea,2019-20,1.5789473684210527,0.8421052631578947,17.473684210526315,6.473684210526316,6.368421052631579,2.0526315789473686,7.2105263157894735,3.3684210526315788,0.736842105263158,1.8947368421052633,57.89473684210527,2.0,2.0526315789473686,10.473684210526315,15.421052631578947,4.105263157894737,5.368421052631579,3.6315789473684212,5.7894736842105265,0.052631578947368585,1.5789473684210527,47.368421052631575
Crystal Palace,2017-18,1.5263157894736843,1.4210526315789473,14.052631578947368,10.842105263157896,4.7894736842105265,4.2631578947368425,5.473684210526316,5.052631578947368,0.10526315789473695,1.3684210526315788,36.84210526315789,1.4736842105263157,0.8421052631578947,13.473684210526315,10.947368421052632,5.0,3.1578947368421053,5.947368421052632,5.526315789473684,-0.631578947368421,0.9473684210526315,21.052631578947366
Crystal Palace,2018-19,1.0,1.2105263157894737,15.473684210526315,11.736842105263158,4.0,3.473684210526316,6.842105263157895,4.526315789473684,-0.21052631578947367,1.0526315789473684,26.31578947368421,1.5789473684210527,1.6842105263157894,15.894736842105264,10.368421052631579,5.157894736842105,3.6842105263157894,6.842105263157895,3.9473684210526314,0.10526315789473673,1.526315789473684,47.368421052631575
Crystal Palace,2019-20,0.7894736842105263,1.0526315789473684,12.157894736842104,11.473684210526315,3.5789473684210527,4.315789473684211,5.842105263157895,5.7368421052631575,-0.26315789473684204,1.2105263157894737,31.57894736842105,1.5789473684210527,0.8421052631578947,15.578947368421053,7.631578947368421,4.894736842105263,2.736842105263158,6.631578947368421,3.473684210526316,-0.736842105263158,1.0526315789473684,26.31578947368421
Everton,2017-18,1.4736842105263157,1.1578947368421053,9.947368421052632,12.68421052631579,3.1578947368421053,4.2631578947368425,4.2631578947368425,5.2105263157894735,0.3157894736842104,1.7894736842105263,52.63157894736842,1.894736842105263,0.8421052631578947,15.842105263157896,9.0,5.368421052631579,3.263157894736842,5.947368421052632,3.6315789473684212,-1.0526315789473684,0.7894736842105263,15.789473684210526
Everton,2018-19,1.5789473684210527,1.105263157894737,14.68421052631579,10.0,4.473684210526316,3.5789473684210527,6.2631578947368425,3.8421052631578947,0.4736842105263157,1.7894736842105263,52.63157894736842,1.3157894736842106,1.263157894736842,11.157894736842104,11.368421052631579,3.6315789473684212,4.421052631578948,5.578947368421052,5.052631578947368,-0.052631578947368585,1.0526315789473684,26.31578947368421
Everton,2019-20,1.263157894736842,1.105263157894737,13.263157894736842,10.578947368421053,4.894736842105263,3.3157894736842106,5.684210526315789,4.631578947368421,0.1578947368421051,1.631578947368421,42.10526315789473,1.8421052631578947,1.0526315789473684,11.894736842105264,11.473684210526315,4.473684210526316,3.6315789473684212,4.947368421052632,5.0,-0.7894736842105263,0.9473684210526316,26.31578947368421
Fulham,2018-19,1.1578947368421053,1.894736842105263,14.421052631578947,13.31578947368421,4.526315789473684,5.684210526315789,5.368421052631579,5.0,-0.7368421052631577,1.1052631578947367,31.57894736842105,2.3684210526315788,0.631578947368421,17.36842105263158,9.421052631578947,6.157894736842105,3.3157894736842106,6.894736842105263,3.1052631578947367,-1.7368421052631577,0.2631578947368421,5.263157894736842
Huddersfield,2017-18,0.8421052631578947,1.3157894736842106,10.894736842105264,9.789473684210526,2.8947368421052633,4.052631578947368,5.368421052631579,4.368421052631579,-0.47368421052631593,1.2105263157894737,31.57894736842105,1.736842105263158,0.631578947368421,13.421052631578947,8.052631578947368,4.631578947368421,2.9473684210526314,6.631578947368421,3.3157894736842106,-1.105263157894737,0.7368421052631579,15.789473684210526
Huddersfield,2018-19,0.5263157894736842,1.631578947368421,10.68421052631579,11.736842105263158,3.0,4.684210526315789,4.473684210526316,3.789473684210526,-1.1052631578947367,0.47368421052631576,10.526315789473683,2.3684210526315788,0.631578947368421,15.631578947368421,10.368421052631579,5.368421052631579,3.210526315789474,5.157894736842105,4.052631578947368,-1.7368421052631577,0.3684210526315789,5.263157894736842
Leicester,2017-18,1.3157894736842106,1.1578947368421053,11.947368421052632,11.368421052631579,3.9473684210526314,3.6315789473684212,5.894736842105263,4.684210526315789,0.1578947368421053,1.4210526315789473,36.84210526315789,2.0,1.631578947368421,14.421052631578947,10.263157894736842,5.2105263157894735,3.8421052631578947,6.684210526315789,4.7894736842105265,-0.368421052631579,1.0526315789473684,26.31578947368421
Leicester,2018-19,1.263157894736842,1.0526315789473684,15.68421052631579,9.842105263157896,5.2105263157894735,3.263157894736842,5.684210526315789,4.473684210526316,0.21052631578947367,1.4210526315789473,42.10526315789473,1.4736842105263157,1.4210526315789473,12.578947368421053,11.421052631578947,4.052631578947368,4.473684210526316,6.157894736842105,5.368421052631579,-0.05263157894736836,1.3157894736842104,36.84210526315789
Leicester,2019-20,1.8421052631578947,0.8947368421052632,13.789473684210526,9.0,4.631578947368421,2.9473684210526314,6.2105263157894735,4.368421052631579,0.9473684210526315,1.9473684210526316,57.89473684210527,1.263157894736842,1.6842105263157894,11.0,14.473684210526315,4.2631578947368425,5.368421052631579,4.842105263157895,5.473684210526316,0.42105263157894735,1.3157894736842104,36.84210526315789
Liverpool,2017-18,2.3684210526315788,0.5263157894736842,18.894736842105264,6.2105263157894735,7.105263157894737,1.9473684210526316,7.052631578947368,3.263157894736842,1.8421052631578947,2.263157894736842,63.1578947368421,1.4736842105263157,2.0526315789473686,8.631578947368421,14.789473684210526,3.473684210526316,5.157894736842105,3.3684210526315788,5.052631578947368,0.5789473684210529,1.6842105263157894,47.368421052631575
Liverpool,2018-19,2.8947368421052633,0.5263157894736842,17.63157894736842,6.631578947368421,6.631578947368421,2.1052631578947367,7.0,2.9473684210526314,2.368421052631579,2.789473684210526,89.47368421052632,0.631578947368421,1.7894736842105263,9.526315789473685,12.578947368421053,3.0,5.2631578947368425,3.6842105263157894,6.105263157894737,1.1578947368421053,2.3157894736842106,68.42105263157895
Liverpool,2019-20,2.736842105263158,0.8421052631578947,16.526315789473685,9.052631578947368,6.7894736842105265,3.0526315789473686,7.578947368421052,4.842105263157895,1.8947368421052633,2.8947368421052633,94.73684210526315,0.8947368421052632,1.736842105263158,9.0,14.526315789473685,2.6842105263157894,5.368421052631579,3.5789473684210527,6.0,0.8421052631578948,2.31578947368421,73.68421052631578
Man City,2017-18,3.210526315789474,0.7368421052631579,18.263157894736842,5.578947368421052,7.947368421052632,2.1052631578947367,7.2631578947368425,2.473684210526316,2.473684210526316,2.631578947368421,84.21052631578947,0.6842105263157895,2.3684210526315788,6.947368421052632,16.68421052631579,2.473684210526316,5.7894736842105265,2.9473684210526314,7.684210526315789,1.6842105263157894,2.631578947368421,84.21052631578947
Man City,2018-19,3.0,0.631578947368421,20.31578947368421,5.947368421052632,7.7894736842105265,2.1052631578947367,7.526315789473684,2.0526315789473686,2.3684210526315788,2.8421052631578947,94.73684210526315,0.5789473684210527,2.0,6.473684210526316,15.631578947368421,2.263157894736842,5.894736842105263,2.263157894736842,7.578947368421052,1.4210526315789473,2.31578947368421,73.68421052631578
Man City,2019-20,3.0,0.6842105263157895,20.736842105263158,6.631578947368421,7.105263157894737,2.3684210526315788,8.263157894736842,2.473684210526316,2.3157894736842106,2.4736842105263155,78.94736842105263,1.1578947368421053,2.3684210526315788,8.052631578947368,18.473684210526315,3.6842105263157894,6.7368421052631575,2.6842105263157894,7.421052631578948,1.2105263157894735,1.7894736842105263,57.89473684210527
Man United,2017-18,2.0,0.47368421052631576,14.473684210526315,9.263157894736842,4.894736842105263,3.4210526315789473,6.157894736842105,3.9473684210526314,1.5263157894736843,2.4736842105263155,78.94736842105263,1.0,1.5789473684210527,13.68421052631579,12.526315789473685,4.2631578947368425,4.631578947368421,5.2631578947368425,5.421052631578948,0.5789473684210527,1.7894736842105263,52.63157894736842
Man United,2018-19,1.736842105263158,1.3157894736842106,14.947368421052632,11.052631578947368,6.631578947368421,4.2631578947368425,6.105263157894737,4.526315789473684,0.42105263157894735,1.8947368421052633,52.63157894736842,1.5263157894736843,1.6842105263157894,14.894736842105264,12.736842105263158,4.842105263157895,5.2105263157894735,5.2631578947368425,4.421052631578948,0.1578947368421051,1.5789473684210527,47.368421052631575
Man United,2019-20,2.1052631578947367,0.8947368421052632,15.736842105263158,8.578947368421053,6.2105263157894735,3.210526315789474,5.052631578947368,4.473684210526316,1.2105263157894735,1.9473684210526316,52.63157894736842,1.0,1.368421052631579,11.789473684210526,12.842105263157896,3.526315789473684,5.157894736842105,5.315789473684211,5.684210526315789,0.368421052631579,1.526315789473684,42.10526315789473
Newcastle,2017-18,1.105263157894737,0.8947368421052632,11.789473684210526,11.473684210526315,3.736842105263158,3.4210526315789473,4.368421052631579,5.0,0.21052631578947378,1.4736842105263157,42.10526315789473,1.5789473684210527,0.9473684210526315,13.736842105263158,11.842105263157896,4.842105263157895,4.157894736842105,6.7368421052631575,4.421052631578948,-0.6315789473684211,0.8421052631578947,21.052631578947366
Newcastle,2018-19,1.263157894736842,1.3157894736842106,14.0,10.736842105263158,4.2105263157894735,3.1578947368421053,5.894736842105263,5.2631578947368425,-0.052631578947368585,1.3157894736842104,42.10526315789473,1.2105263157894737,0.9473684210526315,15.0,9.368421052631579,4.631578947368421,3.263157894736842,6.894736842105263,3.6315789473684212,-0.26315789473684215,1.0526315789473684,21.052631578947366
Newcastle,2019-20,1.0526315789473684,1.105263157894737,12.263157894736842,14.842105263157896,4.052631578947368,4.473684210526316,4.526315789473684,6.368421052631579,-0.052631578947368585,1.3684210526315788,31.57894736842105,1.9473684210526316,0.9473684210526315,15.0,8.526315789473685,6.052631578947368,2.8421052631578947,6.894736842105263,3.4210526315789473,-1.0,0.9473684210526316,26.31578947368421
Norwich,2019-20,1.0,1.9473684210526316,11.421052631578947,16.05263157894737,3.8421052631578947,5.894736842105263,4.7894736842105265,6.894736842105263,-0.9473684210526316,0.7894736842105263,21.052631578947366,2.0,0.3684210526315789,15.789473684210526,10.052631578947368,5.368421052631579,3.0526315789473686,7.105263157894737,3.736842105263158,-1.631578947368421,0.3157894736842105,5.263157894736842
Sheffield United,2019-20,1.263157894736842,0.7894736842105263,11.0,9.368421052631579,3.6842105263157894,2.9473684210526314,7.0,4.473684210526316,0.4736842105263157,1.736842105263158,52.63157894736842,1.263157894736842,0.7894736842105263,13.263157894736842,7.631578947368421,4.421052631578948,2.3684210526315788,7.0,4.157894736842105,-0.4736842105263157,1.1052631578947367,21.052631578947366
Southampton,2017-18,1.0526315789473684,1.368421052631579,13.263157894736842,11.736842105263158,4.052631578947368,3.8947368421052633,6.578947368421052,4.684210526315789,-0.3157894736842106,1.0,21.052631578947366,1.5789473684210527,0.8947368421052632,14.210526315789474,10.473684210526315,5.052631578947368,3.5789473684210527,5.894736842105263,5.368421052631579,-0.6842105263157895,0.894736842105263,15.789473684210526
Southampton,2018-19,1.4210526315789473,1.5789473684210527,13.578947368421053,12.631578947368421,4.684210526315789,4.157894736842105,5.315789473684211,5.526315789473684,-0.1578947368421053,1.2105263157894737,26.31578947368421,1.8421052631578947,0.9473684210526315,14.894736842105264,11.68421052631579,5.2631578947368425,3.8421052631578947,5.684210526315789,4.842105263157895,-0.8947368421052632,0.8421052631578947,21.052631578947366
Southampton,2019-20,1.105263157894737,1.8421052631578947,12.631578947368421,12.263157894736842,4.052631578947368,5.0,5.157894736842105,5.684210526315789,-0.7368421052631577,1.1052631578947367,31.57894736842105,1.3157894736842106,1.5789473684210527,11.526315789473685,13.68421052631579,3.8421052631578947,5.473684210526316,6.052631578947368,5.894736842105263,0.26315789473684204,1.631578947368421,47.368421052631575
Stoke,2017-18,1.0526315789473684,1.5789473684210527,10.68421052631579,13.894736842105264,3.4210526315789473,5.105263157894737,4.2105263157894735,6.7368421052631575,-0.5263157894736843,1.0526315789473684,26.31578947368421,2.0,0.7894736842105263,16.526315789473685,9.421052631578947,6.473684210526316,3.473684210526316,8.052631578947368,2.9473684210526314,-1.2105263157894737,0.6842105263157894,10.526315789473683
Swansea,2017-18,0.8947368421052632,1.263157894736842,11.263157894736842,11.68421052631579,3.6315789473684212,4.526315789473684,5.0,4.2631578947368425,-0.36842105263157887,1.1052631578947367,31.57894736842105,1.6842105263157894,0.5789473684210527,16.63157894736842,6.421052631578948,5.526315789473684,1.8421052631578947,6.0,2.8947368421052633,-1.1052631578947367,0.631578947368421,10.526315789473683
Tottenham,2017-18,2.1052631578947367,0.8421052631578947,18.57894736842105,9.0,6.315789473684211,3.263157894736842,7.526315789473684,3.736842105263158,1.263157894736842,2.2631578947368425,68.42105263157895,1.0526315789473684,1.7894736842105263,9.68421052631579,14.157894736842104,3.3684210526315788,5.105263157894737,4.684210526315789,5.421052631578948,0.736842105263158,1.7894736842105263,52.63157894736842
Tottenham,2018-19,1.7894736842105263,0.8421052631578947,16.210526315789473,11.473684210526315,5.526315789473684,4.368421052631579,5.368421052631579,4.2631578947368425,0.9473684210526316,2.0,63.1578947368421,1.2105263157894737,1.736842105263158,12.894736842105264,12.0,4.0,4.421052631578948,5.578947368421052,4.842105263157895,0.5263157894736843,1.736842105263158,57.89473684210527
Tottenham,2019-20,1.894736842105263,0.8947368421052632,12.947368421052632,12.578947368421053,4.157894736842105,4.157894736842105,5.7894736842105265,4.631578947368421,0.9999999999999999,2.052631578947368,63.1578947368421,1.5789473684210527,1.3157894736842106,15.631578947368421,10.473684210526315,5.473684210526316,4.2631578947368425,6.2631578947368425,4.7368421052631575,-0.26315789473684204,1.0526315789473684,21.052631578947366
Watford,2017-18,1.4210526315789473,1.631578947368421,12.421052631578947,11.0,3.6842105263157894,4.2631578947368425,5.052631578947368,4.842105263157895,-0.21052631578947367,1.4210526315789473,36.84210526315789,1.736842105263158,0.8947368421052632,10.736842105263158,10.736842105263158,4.157894736842105,3.263157894736842,5.578947368421052,4.631578947368421,-0.8421052631578948,0.7368421052631579,21.052631578947366
Watford,2018-19,1.368421052631579,1.4736842105263157,11.789473684210526,11.368421052631579,4.368421052631579,4.578947368421052,4.7894736842105265,4.842105263157895,-0.10526315789473673,1.4210526315789473,42.10526315789473,1.631578947368421,1.368421052631579,14.421052631578947,11.052631578947368,5.105263157894737,3.5789473684210527,6.2105263157894735,4.526315789473684,-0.26315789473684204,1.2105263157894737,31.57894736842105
Watford,2019-20,1.1578947368421053,1.4210526315789473,12.842105263157896,12.473684210526315,3.263157894736842,4.7894736842105265,4.315789473684211,4.842105263157895,-0.26315789473684204,1.263157894736842,31.57894736842105,1.9473684210526316,0.7368421052631579,13.842105263157896,9.473684210526315,4.842105263157895,3.0526315789473686,5.7368421052631575,4.473684210526316,-1.210526315789474,0.5263157894736842,10.526315789473683
West Brom,2017-18,1.105263157894737,1.5263157894736843,11.052631578947368,12.052631578947368,3.4210526315789473,3.5789473684210527,5.315789473684211,4.578947368421052,-0.42105263157894735,0.9473684210526315,15.789473684210526,1.4210526315789473,0.5263157894736842,15.052631578947368,8.68421052631579,4.684210526315789,2.5789473684210527,4.684210526315789,3.9473684210526314,-0.8947368421052632,0.6842105263157894,15.789473684210526
West Ham,2017-18,1.263157894736842,1.368421052631579,11.105263157894736,11.894736842105264,3.3684210526315788,3.9473684210526314,4.894736842105263,4.105263157894737,-0.10526315789473695,1.4210526315789473,36.84210526315789,2.210526315789474,1.263157894736842,17.63157894736842,8.526315789473685,6.052631578947368,3.6315789473684212,6.842105263157895,3.5789473684210527,-0.9473684210526319,0.7894736842105263,15.789473684210526
West Ham,2018-19,1.6842105263157894,1.4210526315789473,12.894736842105264,11.578947368421053,4.631578947368421,4.578947368421052,5.684210526315789,5.157894736842105,0.26315789473684204,1.631578947368421,47.368421052631575,1.4736842105263157,1.0526315789473684,16.210526315789473,10.31578947368421,5.947368421052632,3.6315789473684212,5.842105263157895,4.157894736842105,-0.42105263157894735,1.1052631578947367,31.57894736842105
West Ham,2019-20,1.5789473684210527,1.736842105263158,11.631578947368421,11.368421052631579,4.684210526315789,4.7368421052631575,5.052631578947368,4.578947368421052,-0.1578947368421053,1.1578947368421053,31.57894736842105,1.5263157894736843,1.0,15.0,10.31578947368421,5.2105263157894735,3.8947368421052633,6.947368421052632,4.947368421052632,-0.5263157894736843,0.894736842105263,21.052631578947366
Wolves,2018-19,1.4736842105263157,1.105263157894737,14.052631578947368,11.789473684210526,4.473684210526316,3.789473684210526,5.7368421052631575,4.7368421052631575,0.36842105263157876,1.7894736842105263,52.63157894736842,1.3157894736842106,1.0,12.210526315789474,10.894736842105264,4.0,3.473684210526316,5.2631578947368425,4.526315789473684,-0.3157894736842106,1.2105263157894737,31.57894736842105
Wolves,2019-20,1.4210526315789473,1.0,12.31578947368421,9.157894736842104,3.736842105263158,3.473684210526316,4.631578947368421,2.8947368421052633,0.42105263157894735,1.631578947368421,42.10526315789473,1.105263157894737,1.263157894736842,11.68421052631579,11.842105263157896,3.3157894736842106,3.8947368421052633,4.894736842105263,5.526315789473684,0.1578947368421051,1.4736842105263157,36.84210526315789
